	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	0	0	0	0.11063	0.07539	0	0	0	0	0	0.2536	0.02595	0	0	0.42249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07135	0	0	0	0	0	0	0	0	0	0	0.08074	0.0508	0.00184	0	0	0	0	0	0	0	0	0.22244	0	0	0.04853	0	0	0.05609	0	0.17946	0	0	0	0.05421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00704	0	0.06532	0	0	0	0	0.0427	0	0	0	0	0	0.34408	0	0	0.0818	0.05089	0.17096	0	0	0.05851	0	0	0	0	0	0	0	0.0186	0	0	0	0	0	0	0	0.12401	0	0	0	0.00839	0	0	0	0.06934	0	0	0	0	0	0	0.06548	0.03471	0.32401	0	0	0.28862	0.07966	0.00556	0	0	0.07958	0.01432	0.00922	0	0	0	0	0.20304	0.10132	0.00306	0.00383	0	0	0.08762	0.13674	0.03111	0	0	0	0	0.01336	0.12038	0	0	0	0	0	0	0.06488	0	0	0	0.01877	0.07881	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	0	0	0	0.10375	0.42028	0.03498	0	0	0.07332	0.02378	0.1097	0.04199	0	0	0.16111	0.00277	0	0	0.16975	0	0	0	0	0.0478	0	0.50653	0	0	0	0	0.0323	0	1.61507	0.03078	0	0	0	0	0	0	0	0.14324	0.41506	0.04712	0	0	0.06604	0	0.01955	0	0	0.02659	0.12851	0	0.01062	0.20332	0	0.04926	0	0	0	0.09293	0	0.04447	0.08291	0	0.01079	0.01036	0.00854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00409	0	0	0	0	0	0	0	0	0	0	0	0	0.05572	0	0	0	0.02604	0.04022	0.02633	0.08152	0.12912	0	0	0.01382	0	0.03594	0	0	0	0	0	0	0	0.05582	0	0	0	0	0	0	0	0.20453	0	0	0	0.07339	0	0.04016	0.04322	0.10413	0	0	0	0	0	0	0	0	0.03735	0	0.10853	0.04242	0.10458	0.0058	0.03294	0.02117	0.19586	0.00396	0.01859	0	0	0.06924	0	0.02074	0.10763	0.02109	0.02089	0.02284	0.00561	0.23618	0.06111	0.13783	0	0	0.11159	0	0	0.02079	0	0	0	0	0.02719	0	0	0	0	0.28857	0	0.00991	0	0	0	0.01904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0	0	0.06106	0.01952	0.91486	0.04288	0	0	0	0.04046	0.50164	0	0	0	0.00977	0	0	0	0	0	0	0	0	0	0.3474	0.74311	0	0.01013	0.31151	0.01642	0	0.03955	0.00124	0	0.2749	0	0	0	0	0	0.09884	0.00788	0.86132	0.05632	0	0	0	0.0808	0	0	0	0.03527	0	0.76872	0.12941	0	0	0	0	0	0	0	0	0	0	0	0.08064	0.05826	0	0	0.00475	0	0	0	0	0	0	0	0	0	0.14635	0.10209	0	0.13796	0.00277	0	0.01092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02982	0.11072	0	0	0	0	0.18839	0	0	0	0.84238	0.02416	0	0	0	0	0	0	0	0	0	0	0.03707	0	0	0	0.0303	0	0	0	0	0	0.03272	0.06333	0	0.1462	0	0	0	0	0	0.03621	0	0	0	0.92487	0.94308	0	0	0.17868	0.8686	0.53805	0.09576	0	0	0	0	0.6016	0.67603	1.00311	0	0	0.53819	0.39142	0.60645	0.13512	0	0	0	0	0.08184	10.88892	0	1.28871	0	0	0	0	0	0	0	0	0.18785	9.35307	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens	0	0	0	0.03649	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01584	0	0	0	0	0	0	0	0	0.00582	0.00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	0	0	0	0.03442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00092	0	0.02644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0	0	0	0.02249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0	0.01918	0.08115	0	0	0	0	0	0	0	0.0252	0	0	0.14391	0	0	0.02572	0.1522	0	0	0.01189	0.9797	0	0.86786	0.01282	0.14259	0.09009	0	0	0	0.50379	0.07426	0	0.26098	0	0	0	0	0	0.04392	0.04796	0.02707	0	0	0	0.04568	0.2854	0	0	0	0	0	0	0.02478	0	0	0.0096	0	0.09529	0	0	0	0	0.07907	0.32579	0.70796	0.49283	0.66355	0.48694	0	0	0	0	0	0	0	0	0	0	0.61074	0.37772	0.21843	0.35813	0.18217	1.30568	0.31924	0.16375	0	0	0	0	0.0523	0	0	0	0	0	0	0.0214	0.12226	0.19623	0.03263	0	0.0102	0.03581	0.04122	0.0123	0.07903	0.2831	0	0	0	0	0	0.06193	0.2201	0.5878	0	0	0.75889	0	0.47201	0	0.31839	0	0	0.06993	0.04004	0	0	0.06114	0.30251	0	0	0	0	0.513	0.44726	0.21459	0.34717	0	0.0428	0	0	0	0.06932	0	0	0	0.04045	0.10368	0	0	0.02782	0	0	0	0.00297	0	0.00843	0	0.0201	0.05965	0.03186	0	0	0.13695	0	0	0.00856	0.00502	0	0	0	0	0	0	0.0105	2.19905	0.06281	0	0	0	0	0	0	0	0	0.00944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	0	0	0	0.01823	0.03426	0.00315	0	0	0.0027	0.04847	0	0.06766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35807	0	0	0	0	0.00028	0	0	0	0.00692	0.03837	0.02812	0.00911	0	0	0	0	0	0	0.04873	0	0	0.04445	0.03523	0	0	0	0	0	0	0	0	0.04166	0	0	0	0	0	0	0	0	0	0	0	0	0.01138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10897	0	0	0	0	0	0	0	0	0.03882	0	0	0	0	0	0	0	0	0.02148	0	0	0	0	0	0	0	0	0	0.00185	0	0.02178	0	0	0	0.01841	0	0	0	0.06197	0	0	0	0	0	0	0	0.11012	0.00142	0	0	0	0.0137	0	0	0	0.02465	0	0	0	0	0	0.03093	0	0.01985	0	0.00361	0	0	0.05384	0	0.0203	0	0	0	0.03131	0	0.03681	0.01311	0	0	0	0	0	0.04108	0	0	0	0	0.03083	0.0151	0	0	0.02171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0	0	0.0057	0.01062	0.05866	0	0.03982	0.08645	0	0	0.05873	0	0	0.26993	0.03358	0	0	0.06691	0	0	0.01235	0	0.01197	0	0.23099	0.37689	0	0.00439	0.00334	0.76712	0	0.12768	0	0	0	0	0	0	0	0	0.01464	0.10181	0.09732	0.01121	0.05703	0.13118	0	0	0	0	0	0	0	0.05742	0.01717	0	0.01515	0.09105	0	0.05461	0.00842	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00647	0.00787	0.00789	0	0	0	0	0	0.10957	0	0	0	0.00109	0	0	0	0	0	0	0.08633	0.05127	0.01262	0.05667	0.10076	0.08459	0	0	0.02017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818	0	0	0	0.03483	0	0	0	0.01613	0	0	0	0	0	0	0.10145	0	0.06197	0.04428	0	0.12069	0.14722	0.02051	0.02676	0.04598	1.81072	0.42523	0.01723	0	0	0	0	0.10153	0.20676	0.03078	0.13582	0.07026	0.1049	1.74868	0.83418	0.05825	0	0	0.05645	0	0	0	0	0	0	0	0.07075	0	0	0	0	0.06287	0.01958	0	0	0	0	0.00985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	0	0	0	0.15716	0	0.00965	0.01049	0	0	0	0	0.07708	0	2.28998	0.29165	0	0	0.24232	0.00446	0	0	0	0.02246	0	0.87195	0.04928	0	0	0	0	0	0.1579	0.00192	0	0	0	0	0	0	0	0.01201	0.20066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06865	0.00953	0.03791	0.00829	0	0	0.01556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.02315	0	0	0	0.0075	0	0.01993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07874	0	0	0.01269	0.01385	0	0	0	0	0	0	0	0	0.00607	0	0.06649	0	0.07735	0	0	0	1.12754	0.12162	0	0	0	0	0	0	0.1794	0	0.01847	0	0	1.24069	0.25386	0	0	0	0	0	0.04991	0	0	0	0	0	0	0	0	0	0	0	0.11335	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0	0	0	0	0.04214	0	0	0	0	0	0	0.01376	0.04445	0	0	0	0	0	0.4784	0.34075	0	0	0	0.02118	0	0	0	0	0.07111	0	0	0	1.26	0.17766	0	0	0	0	0	0	0	0	0.05707	0	0	0	0	0	0.25298	0	0	0	0	0	0.04277	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0.06706	0.00257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1999	0.52502	0	0	0	0	0	0	0	0.04308	0	0	0	0	0.1127	0	0.0996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408	0	0	0	0.06264	0	0	0	0	0	0	0	0.22753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01095	0	0.15293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0	0	0.01993	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0.03379	0	0	0	0.01858	0	0	0	0	0	0	0.02505	0	0	0	0	0	0	0	0	0.01807	0	0	0	0	0.00585	0	0	0	0	0	0.00976	0	0	0.06542	0	0	0	0	0.02623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05756	0.08742	0	0.01082	0	0	0	0	0	0	0	0	0	0	0.03299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09262	0.00643	0	0.00829	0	0	0.58959	0.0759	0	0	0	0.03029	0	0.00364	0.00251	0.01668	0	0.00366	0	0.62604	0.20613	0.03962	0	0	0.06047	0	0	0	0	0.25166	2.32887	0	0	1.80829	0	0.05111	0.09028	0	0	0	0	0.3811	1.97583	0.00286
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0	0	0	0	0.01748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11058	0	0	0	0	0	0	0	0	0	0.00699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07017	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0	0	0	0	0.00713	0	0	0	0	0	0.0214	0.01008	3.15326	0.00649	0	0	0	0	0	0.0117	0	0	0.00224	0	0.00912	0	0	0.00462	0.00084	0	0.00462	0.00135	0	0	0	0.01431	0	0	0	0.00445	0	0.02559	0.01365	0	0	0	0	0	0.00924	0.00672	0	0.00176	0.00518	0	0.02362	0	0	0	0	0	0	0	0	0.0148	0	0.51738	0.00252	0	0.00411	0	0.39255	2.06115	0	0	0	0	0.02947	0	0	0.00927	0	0.00438	0.00698	0.00996	0.02342	0	0	0	0	0	0	0	0	0	0.00481	0	0.00341	0	0	0	0	0.00813	0	0	0	0	0.02799	0	0	0	0	0.00121	0.00323	0	0	0	0.03471	0.00579	0	0.01022	0.0102	0	0	0.01102	0	0.35707	0.06219	0.00286	0.02828	0.00602	0	0.02213	0.00356	0	0	0	0	0.00603	0.04141	0.01244	0	0.02853	0	0	0	0	0	0	0	0	0	0.00621	0.00974	0	0	0	0	0	0	0	0	0	0	0.00298	0	0	0	0	0	0	0.00215	0	0	0	0	0	0	0	0	0	0	0.01649	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	0	0	0	12.03715	0.25318	0.47973	0	0.01833	0	0	0	0	0	0	0	0	0	10.45607	0	0	10.68442	0	0	0	0	0	0	0	0	0	0	29.87237	0	0	0	0	0	0	0	0	0	12.61141	0.38956	0.4927	0	0	3.02689	0	4.81843	0.01165	0	2.24233	0	0.40374	0.21635	0.0739	0.21917	0	0	3.4601	2.08554	0	0	10.06387	3.67983	0.34034	3.50844	4.4554	12.57877	0	3.95803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38785	1.64333	0.63198	0	0.72734	0	0.01493	14.62395	14.47375	0	38.49438	1.4777	0.53308	1.6099	0.27896	0.21202	0	4.68798	7.22733	4.46562	6.99568	6.49582	6.90968	0	0	1.82434	11.5418	3.99138	3.4163	8.10739	7.10908	0	17.32561	22.92662	0	0	0	0.02703	0	0	3.80576	2.49152	0	0	0	0	0	0	0	0	5.1123	0	1.24474	0.49188	1.35085	2.03299	7.11319	0.69974	0	0	0	0	0.03934	0	0	0	0	1.45232	6.64838	0.52732	0	0	0.04211	0	0	0.21663	0	0	0	0	0.07226	0	0	0	0.24431	2.2371	0.06629	0	0	0	0	0	0.12048	0	0	0.00948	0.31595	2.37732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_579	0	0	0	0	0	0.53185	0	0	1.32163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57582	0	0	1.45857	0	0	0	0	0	0	0	0	0	0	0.03486	0	0	0	0	0	0.55254	0	0	0	0	0	1.12521	0.54788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60704	0	0.1267	0	0	0	0	0	0	0	0	0	0.45261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00674	0	0.03928	3.78871	1.54435	0.98493	0	0	0	0.52856	0	0	0.01128	0.01289	0.0696	0	3.89254	3.36722	2.44042	0	0	0	0.48141	0.09125	0	0	0	0	0	0	0	0	0	0	0	0.11998	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	0	0	0.2419	0	0	0	0	0	0	0	0	1.26076	0	0	0	0	0	0	0.01256	0	0	0	0.1742	0.20114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6881	0.11515	0.08319	0	0	0	0	0	0	0	0	0	0.014	0.57301	0.24246	0.16508	0	0	0	0	0	0	0	0	0	0	0.0339	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_555	0	0	0	0	0	0.08938	0	0.18676	0	0	0	0	0	0	0	0	0	0	0	0.00916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01223	0.00737	0	0	0	0.10401	0	0.16743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59666	0.18423	0	0	0	0	0	0	0	0	0	0	0	0.6203	0.4156	0	0	0	0	0	0	0	1.73446	2.02749	0	0	0	0	0	0	0	0	0	0	1.23679	1.02442	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_411	0	0	0	0	0	0.06046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03331	0	0.01662	0	0	0	0	0	0	0	0.30772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27626	0	0	0	0.02583	0	0.16972	1.0868	0	0	0	0	0	0.40761	0	0	0.03041	0	0.39621	0	1.08339	0	0	0	0	0	0.40265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_ventriculi	0	0	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01779	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0.39751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06301	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0.00834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44152	0	0	0	0	0	0	0	0	0	0.02698	0	0	0.09906	0.09311	0.54163	0	0	0.03592	0	0	0	0	0	0	0.06848	0.09238	0.42409	0	0	0	0.04201	0	0.05574	0	0	0	0	0	0	0.05987	0.0168	0.01572	0.04279	0	0	0	0	0	0	0	0	0.04857	0	0	0.04181
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_831b	0	0	0	0	0	0	0.23479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00867	0.00676	0	0	0	0	0.23248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07253	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0	0	0	0	0	0	0.05542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12194	0	0	0.06174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15268	0	0	0	0	0	0	0	0	0.02206	0	0	0	0	0	0	0	0	0	0	0	0.01167	0.01427	0	0	0	0	0.18284	0	0	0	0	0	0	0	0	0	0	0	0.17061	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_786	0	0	0	0	0	0	0.04703	0.0201	0	0	0	0	0	0	0	0.03884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323	0	0	0	0	0	0	0	0	0.04118	0.03728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1109	0	0.0728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51687	0.07561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
